id,parsed_jt,certification,llm_evaluation,llm_explanation,certification_names,jt-certification match,cluster,cluster_label,seniority
5918,Central Utility Plant Operator,1st Class C Boiler License,MATCH,"Boiler operation is a key responsibility for Central Utility Plant Operators, making this license highly relevant.",1st Class C Boiler License,MATCH,0,Skilled Trades & Technicians,Non-managerial
5926,Certificated Preschool Pre K Teacher,CPR certification,MATCH,CPR certification is commonly required for preschool teachers for child safety and emergency response.,CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
5937,Certified Athletic Trainer,CPR certification,MATCH,CPR certification is commonly required for Athletic Trainers to respond to medical emergencies.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
5937,Certified Athletic Trainer,First Aid certification,MATCH,First Aid is a core skill and often a requirement for Certified Athletic Trainers to handle injuries.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
5938,Certified Athletic Trainer,CPR certification,MATCH,CPR certification is commonly required for Athletic Trainers to respond to medical emergencies.,CPR certification,NO MATCH,8,Community & Recreation Services,Non-managerial
5939,Certified Athletic Trainer,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Licensure is typically required for Certified Athletic Trainers to practice legally.,Licensure as required by Authority Having Jurisdiction (AHJ),NO MATCH,8,Community & Recreation Services,Non-managerial
5953,Certified Cycling Instructor,CPR certification,MATCH,"CPR certification is often required or highly recommended for fitness instructors, including cycling instructors, for safety.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
5954,Certified Dental Assistant,CPR certification,MATCH,CPR certification is often required for healthcare roles like Dental Assistant for patient safety.,CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
5956,Certified Dental Assistant,CPR certification,MATCH,CPR certification is often required for healthcare roles like Dental Assistant for patient safety.,CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
5957,Certified Dental Assistant,CPR certification,MATCH,CPR certification is commonly required for dental assistants due to direct patient care and potential medical emergencies.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
5958,Certified Dental Assistant,CPR certification,MATCH,CPR certification is commonly required for dental assistants due to direct patient care and potential medical emergencies.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
5959,Certified Diabetes Care Education Specialist,CPR certification,MATCH,CPR is a common and often required certification for patient-facing healthcare professionals.,CPR certification,NO MATCH,1,Healthcare Professionals,Non-managerial
5960,Certified Diabetes Educator,CPR certification,MATCH,CPR is often required or recommended for healthcare professionals like Certified Diabetes Educators working directly with patients.,CPR certification,NO MATCH,1,Healthcare Professionals,Non-managerial
5961,Certified Dialysis Patient Care Technician,CPR certification,MATCH,CPR certification is often required for patient-facing healthcare roles like a Dialysis Patient Care Technician.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
5965,Certified Electrician Industrial Maintenance,Electrical certification,MATCH,"The job title explicitly states 'Certified Electrician', making an electrical certification highly relevant.",Electrical certification,MATCH,0,Skilled Trades & Technicians,Non-managerial
5966,Certified Electrician Industrial Maintenance,Electrician license,MATCH,An Electrician license is typically required for a Certified Electrician role.,Electrician license,MATCH,0,Skilled Trades & Technicians,Non-managerial
5971,Certified HHA,CPR certification,MATCH,CPR certification is often required for Home Health Aides (HHA) to handle medical emergencies.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5972,Certified Hand Therapist Occupational Therapist II,CPR certification,MATCH,CPR is a common requirement for healthcare professionals like Occupational Therapists for patient safety.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
5977,Certified Home Health Aide,CPR certification,MATCH,CPR is often required for Home Health Aides for patient safety and emergency response.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5979,Certified Home Health Aide,CPR certification,MATCH,CPR is often required for Home Health Aides for patient safety and emergency response.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5981,Certified Home Health Aide,CPR certification,MATCH,CPR certification is often required or highly recommended for Home Health Aides for emergency response.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5983,Certified Home Health Aide,CPR certification,MATCH,CPR certification is often required or highly recommended for Home Health Aides for emergency response.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5984,Certified Home Health Aide,OSHA certification,MATCH,"Relevant for workplace safety, covering crucial aspects for home health aides like infection control and safe patient handling.",OSHA certification,NO MATCH,5,Certified Nursing Assistants,Non-managerial
5985,Certified Home Health Aide,CPR certification,MATCH,CPR is often required for Home Health Aides for patient safety and emergency response.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5986,Certified Home Health Aide,CPR certification,MATCH,CPR is often required for Home Health Aides for patient safety and emergency response.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5987,Certified Home Health Aide CHHA,CPR certification,MATCH,CPR certification is often required or highly recommended for Certified Home Health Aides.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5988,Certified Home Health Aide CHHA Elara,OSHA certification,MATCH,OSHA training is relevant for healthcare workers like Home Health Aides to ensure workplace safety standards.,OSHA certification,NO MATCH,5,Certified Nursing Assistants,Non-managerial
5990,Certified Home Health Aide HHA,CPR certification,MATCH,CPR certification is often required or highly recommended for Home Health Aides.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
5995,Certified Infant Toddler Preschool Teacher,CPR certification,MATCH,"CPR certification is highly relevant and often required for teachers working with infants, toddlers, and preschoolers.",CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
5996,Certified Infant Toddler Preschool Teacher,CPR certification,MATCH,"CPR certification is highly relevant and often required for teachers working with infants, toddlers, and preschoolers.",CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
5999,Certified Lactation Peer Counselor Mother Baby,CPR certification,MATCH,CPR is often required for roles involving direct care of mothers and infants for safety.,CPR certification,NO MATCH,8,Community & Recreation Services,Non-managerial
6001,Certified Lifeguard,CPR certification,MATCH,CPR certification is a standard requirement for lifeguards to perform their duties effectively and ensure safety.,CPR certification,MATCH,8,Community & Recreation Services,Non-managerial
6003,Certified Medical Assistant,CPR certification,MATCH,CPR certification is often required or highly recommended for Certified Medical Assistants due to direct patient care.,CPR certification,MATCH,3,Allied Health & Biomedical,Non-managerial
6004,Certified Medical Assistant,CPR certification,MATCH,CPR certification is commonly required for Medical Assistants for patient safety and emergency response.,CPR certification,MATCH,3,Allied Health & Biomedical,Non-managerial
6009,Certified Medical Assistant CNA Caregiver,CPR certification,MATCH,"CPR certification is highly relevant and often required for medical assistants, CNAs, and caregivers.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6011,Certified Medical Assistant Medical Assistant,CPR certification,MATCH,CPR certification is commonly required for Medical Assistants who provide direct patient care.,CPR certification,MATCH,3,Allied Health & Biomedical,Non-managerial
6014,Certified Nurse Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nurse Assistants working in healthcare settings.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6018,Certified Nurse Assistant CNA,CPR certification,MATCH,CPR certification is commonly required for Certified Nurse Assistants (CNAs) for patient safety.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6019,Certified Nurse Assistant CNA,CPR certification,MATCH,CPR certification is often required for CNAs as they provide direct patient care and may need to respond to emergencies.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6021,Certified Nurse Assistant CNA SNF,CPR certification,MATCH,CPR certification is commonly required for Certified Nurse Assistants working in healthcare settings like SNFs.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6022,Certified Nurse Assistant Home Health,CPR certification,MATCH,"CPR certification is commonly required for Certified Nurse Assistants, including those in home health.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6025,Certified Nurse Midwife,CPR certification,MATCH,"CPR is a standard and often required certification for healthcare professionals, including Certified Nurse Midwives.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
6026,Certified Nurse Midwife,CPR certification,MATCH,"CPR is a standard and often required certification for healthcare professionals, including Certified Nurse Midwives.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
6027,Certified Nurse Midwife Laborist,CPR certification,MATCH,CPR is a standard and often required certification for healthcare professionals like Certified Nurse Midwives.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
6031,Certified Nursing Aide,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Certified Nursing Aides typically require licensure or certification as mandated by the relevant state or local authority.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6032,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants due to direct patient care responsibilities.,CPR certification,NO MATCH,5,Certified Nursing Assistants,Non-managerial
6033,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants as they provide direct patient care.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6035,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants due to direct patient care responsibilities.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6036,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants to handle medical emergencies.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6037,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants due to direct patient care responsibilities.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6038,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants due to direct patient care responsibilities.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6039,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants due to direct patient care responsibilities.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6040,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants due to direct patient care responsibilities.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6041,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants as they provide direct patient care.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6041,Certified Nursing Assistant,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Certified Nursing Assistants typically require state licensure, which this describes.",Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6042,Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants to handle medical emergencies.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6043,Certified Nursing Assistant Assisted Living,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants in assisted living settings for emergency response.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6044,Certified Nursing Assistant Assisted Living,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants in assisted living settings for emergency response.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6045,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required for CNAs as they provide direct patient care.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6046,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required or highly recommended for Certified Nursing Assistants.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6047,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required for CNAs as they provide direct patient care.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6048,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required or highly recommended for Certified Nursing Assistants.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6049,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required for CNAs as they provide direct patient care.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6050,Certified Nursing Assistant CNA,OSHA certification,MATCH,OSHA certification is relevant for workplace safety in healthcare settings where CNAs work.,OSHA certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6050,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required for CNAs as they provide direct patient care.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6051,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants (CNAs) due to direct patient care responsibilities.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6052,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required or highly recommended for Certified Nursing Assistants.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6053,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required for CNAs as they provide direct patient care.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6054,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is often required or highly recommended for Certified Nursing Assistants.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6055,Certified Nursing Assistant CNA,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants (CNAs) due to direct patient care responsibilities.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6057,Certified Nursing Assistant CNA CNA,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants (CNAs) for patient safety.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6058,Certified Nursing Assistant CNA Certified Nursing Assistant,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants to handle medical emergencies.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6059,Certified Nursing Assistant CNA Direct Care Caregiver,CPR certification,MATCH,CPR certification is highly relevant and often required for direct care roles like CNA.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6062,Certified Nursing Assistant CNA Home Health,CPR certification,MATCH,"CPR certification is typically required for Certified Nursing Assistants, especially in home health settings.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6063,Certified Nursing Assistant CNA Home Health,CPR certification,MATCH,"CPR certification is commonly required for CNAs, especially in home health settings for emergency response.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6064,Certified Nursing Assistant CNA Hospice,CPR certification,MATCH,"CPR certification is commonly required for CNAs, including those in hospice care, for emergency situations.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6065,Certified Nursing Assistant CNA Hospice,CPR certification,MATCH,"CPR certification is commonly required for CNAs, including those in hospice care, for emergency situations.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6066,Certified Nursing Assistant CNA Hospice,CPR certification,MATCH,"CPR certification is commonly required for CNAs, including those in hospice care, for emergency response.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6067,Certified Nursing Assistant CNA Life Care,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants (CNAs) in healthcare settings.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6068,Certified Nursing Assistant CNA cna,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants (CNAs) for patient care and safety.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6070,Certified Nursing Assistant Caregiver,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants and caregivers for emergency response.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6071,Certified Nursing Assistant HHA,OSHA certification,MATCH,"OSHA certification is relevant for workplace safety, addressing hazards common in patient care for CNAs/HHAs.",OSHA certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6071,Certified Nursing Assistant HHA,CPR certification,MATCH,CPR certification is commonly required for CNAs and HHAs for patient safety and emergency response.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6072,Certified Nursing Assistant Home Health,CPR certification,MATCH,"CPR certification is typically required for Certified Nursing Assistants, including those in home health.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6073,Certified Nursing Assistant Home Health Aide,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants and Home Health Aides.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6074,Certified Nursing Assistant Hospice,CPR certification,MATCH,"CPR certification is commonly required for Certified Nursing Assistants, including those in hospice care.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6075,Certified Nursing Assistant II,CPR certification,MATCH,CPR certification is typically required for Certified Nursing Assistants as they provide direct patient care.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6078,Certified Nursing Assistant Psych Emergency,CPR certification,MATCH,"CPR is a standard requirement for healthcare roles, especially in emergency settings like a Psych Emergency CNA.",CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6080,Certified Nursing Assistants,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants working in direct patient care.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6082,Certified Nursing Training Program,CPR certification,MATCH,CPR certification is typically a requirement or component of nursing training programs.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6083,Certified Nursing Training Program,CPR certification,MATCH,CPR certification is typically a requirement or component of nursing training programs.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6084,Certified Nursing Training Program,CPR certification,MATCH,CPR certification is highly relevant and often required for participants or instructors in nursing training programs.,CPR certification,MATCH,5,Certified Nursing Assistants,Non-managerial
6085,Certified Occupational Therapist Assistant,CPR certification,MATCH,"CPR certification is commonly required for healthcare roles involving direct patient care, like Certified Occupational Therapist Assistant.",CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6088,Certified Occupational Therapist Assistant,CPR certification,MATCH,CPR is a common and often required certification for healthcare roles like COTA.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6089,Certified Occupational Therapist Assistant,CPR certification,MATCH,CPR certification is commonly required for healthcare roles like Certified Occupational Therapist Assistant involving direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6092,Certified Occupational Therapist Assistant COTA,CPR certification,MATCH,CPR is often required for healthcare roles like COTA involving direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6093,Certified Occupational Therapist Assistant COTA,CPR certification,MATCH,CPR certification is a standard requirement for healthcare professionals working directly with patients.,CPR certification,NO MATCH,7,Behavioral Health Specialists,Non-managerial
6094,Certified Occupational Therapist Assistant COTA,CPR certification,MATCH,CPR certification is commonly required for healthcare professionals like COTAs who provide direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6095,Certified Occupational Therapist Assistant COTA,CPR certification,MATCH,CPR certification is commonly required for healthcare professionals like COTAs for patient safety.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6096,Certified Occupational Therapist Assistant COTA,CPR certification,MATCH,CPR certification is commonly required for healthcare roles like COTA involving direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6097,Certified Occupational Therapist Assistant COTA,CPR certification,MATCH,CPR certification is highly relevant and often required for healthcare professionals like COTAs who work directly with patients.,CPR certification,NO MATCH,7,Behavioral Health Specialists,Non-managerial
6097,Certified Occupational Therapist Assistant COTA,First Aid certification,MATCH,"Basic First Aid/CPR is commonly required for healthcare professionals, including Occupational Therapist Assistants.",First Aid certification,NO MATCH,7,Behavioral Health Specialists,Non-managerial
6098,Certified Occupational Therapist Assistant COTA,CPR certification,MATCH,CPR certification is commonly required for healthcare professionals like COTAs for patient safety.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6102,Certified Occupational Therapy Assistant,CPR certification,MATCH,CPR is often required for healthcare roles like COTA involving direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6103,Certified Occupational Therapy Assistant,CPR certification,MATCH,CPR is commonly required for healthcare professionals like COTAs who provide direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6104,Certified Occupational Therapy Assistant,CPR certification,MATCH,CPR is often required for healthcare roles like Certified Occupational Therapy Assistant involving direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6106,Certified Occupational Therapy Assistant,CPR certification,MATCH,CPR is often required for healthcare roles like COTA involving direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6107,Certified Occupational Therapy Assistant,CPR certification,MATCH,CPR is commonly required for healthcare professionals like COTAs who provide direct patient care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6122,Certified Orientation & Mobility Specialist,CPR certification,MATCH,CPR is a common safety certification for roles involving direct client interaction and care.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6123,Certified Patient Navigator Bilingual,CPR certification,MATCH,CPR is often beneficial or required for patient-facing healthcare roles like Patient Navigators.,CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
6129,Certified Personal Care Aide,CPR certification,MATCH,CPR certification is often required or highly relevant for Personal Care Aides due to potential medical emergencies.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
6131,Certified Personal Trainer,CPR certification,MATCH,CPR certification is highly relevant and often required for Certified Personal Trainers for client safety.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
6132,Certified Personal Trainer,CPR certification,MATCH,CPR certification is highly relevant and often required for Certified Personal Trainers for client safety.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
6134,Certified Personal Trainer,CPR certification,MATCH,CPR certification is often required for personal trainers to handle client emergencies and is a standard in the industry.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
6159,Certified Preschool Teacher,CPR certification,MATCH,CPR certification is often required for preschool teachers for child safety and emergency preparedness.,CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
6160,Certified Principal Trainer Optime Anesthesia,CPR certification,MATCH,"CPR is often required for healthcare roles, including those related to anesthesia training.",CPR certification,POSSIBLE MATCH,1,Healthcare Professionals,Managerial
6166,Certified Radiology Technologist RAD,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Radiology Technologists typically require licensure from the relevant authority (AHJ) to practice legally.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6168,Certified Radiology Technologist RAD,CPR certification,MATCH,CPR is often required for healthcare professionals like Radiology Technologists who have direct patient contact.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6182,Certified Registered Nurse Anesthetist,CPR certification,MATCH,"CPR is a fundamental and often required certification for healthcare professionals, including CRNAs.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
6192,Certified Rehabilitation Counselor,CPR certification,MATCH,CPR is often required or highly beneficial for direct client care in rehabilitation settings.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
6205,Certified Sterile Processing Technician,CPR certification,MATCH,CPR certification is often required or beneficial for healthcare support roles like Sterile Processing Technicians.,CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
6207,Certified Sterile Processing Technician,CPR certification,MATCH,CPR certification is often required or beneficial for healthcare support roles like Sterile Processing Technicians.,CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
6208,Certified Sterile Processing Technician,CPR certification,MATCH,CPR certification is often required or beneficial for healthcare support roles like Sterile Processing Technicians.,CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
6209,Certified Sterile Processing Technician,CPR certification,MATCH,CPR certification is often required or beneficial for healthcare support roles like Sterile Processing Technicians.,CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
6215,Certified Surg Tech,CPR certification,MATCH,CPR certification is commonly required for surgical technologists and other healthcare professionals.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6216,Certified Surg Tech,CPR certification,MATCH,CPR certification is commonly required for surgical technologists and other healthcare professionals.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6217,Certified Surgical Tech,CPR certification,MATCH,"CPR certification is often required for healthcare professionals, including Surgical Techs, for patient safety.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6218,Certified Surgical Tech CST,CPR certification,MATCH,CPR is a common and often required certification for healthcare roles like Surgical Techs.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6220,Certified Surgical Tech Endo,CPR certification,MATCH,"CPR is a common requirement for healthcare roles like Surgical Tech, ensuring emergency preparedness.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6222,Certified Surgical Tech Labor & Delivery,CPR certification,MATCH,"CPR is a common and often required certification for healthcare professionals, including surgical techs.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6224,Certified Surgical Tech Specialty Coordinator,CPR certification,MATCH,"CPR is often required for healthcare roles like Surgical Techs, especially those in coordinating positions.",CPR certification,NO MATCH,3,Allied Health & Biomedical,Managerial
6225,Certified Surgical Technician,CPR certification,MATCH,"CPR certification is commonly required for healthcare professionals, including Surgical Technicians, for emergency situations.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6229,Certified Surgical Technician,CPR certification,MATCH,"CPR certification is commonly required for healthcare professionals, including Surgical Technicians, for emergency situations.",CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
6230,Certified Surgical Technician,CPR certification,MATCH,"CPR is a common and often required certification for healthcare professionals, including surgical technicians.",CPR certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
6230,Certified Surgical Technician,OSHA 10 certification,MATCH,"OSHA 10 provides general workplace safety training, relevant for surgical technicians in healthcare environments.",OSHA 10 certification,NO MATCH,3,Allied Health & Biomedical,Non-managerial
6232,Certified Surgical Technician CST,CPR certification,MATCH,CPR is a common and often required certification for healthcare roles like Surgical Technicians.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6233,Certified Surgical Technician CST,CPR certification,MATCH,CPR is a common and often required certification for healthcare professionals like Surgical Technicians.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6237,Certified Surgical Technologist,CPR certification,MATCH,"CPR is a common and often required certification for healthcare professionals, including surgical technologists.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6238,Certified Surgical Technologist,CPR certification,MATCH,CPR is a common and often required certification for healthcare professionals like Surgical Technologists.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6239,Certified Surgical Technologist,CPR certification,MATCH,"CPR is a common and often required certification for healthcare professionals, including surgical technologists.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6242,Certified Surgical Technologist,CPR certification,MATCH,"CPR is a common and often required certification for healthcare professionals, including surgical technologists.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
6243,Certified Surgical Technologist,CPR certification,MATCH,CPR is a common and often required certification for healthcare professionals like Surgical Technologists.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
